,,,prediction,confidence,,goundtruth
D:/UrbanSound8K_All4Eval/100263-2-0-117.wav,0.020342112,4,children_playing,0.529684484,0.51%,2
D:/UrbanSound8K_All4Eval/100263-2-0-121.wav,0.020242214,4,children_playing,0.662554622,0.51%,2
D:/UrbanSound8K_All4Eval/100263-2-0-126.wav,0.014995575,4,children_playing,0.378792703,0.37%,2
D:/UrbanSound8K_All4Eval/100263-2-0-137.wav,0.050142527,4,street_music,0.331638068,1.25%,2
D:/UrbanSound8K_All4Eval/100263-2-0-143.wav,0.019928932,4,children_playing,0.192750439,0.50%,2
D:/UrbanSound8K_All4Eval/100263-2-0-161.wav,0.020125866,4,children_playing,0.316694319,0.50%,2
D:/UrbanSound8K_All4Eval/100263-2-0-3.wav,0.020150661,4,air_conditioner,0.233139917,0.50%,2
D:/UrbanSound8K_All4Eval/100263-2-0-36.wav,0.009757996,4,air_conditioner,0.393694669,0.24%,2
D:/UrbanSound8K_All4Eval/100648-1-4-0.wav,0.010077477,1.86,children_playing,0.254655153,0.54%,1
D:/UrbanSound8K_All4Eval/100652-3-0-0.wav,0.019846678,4,children_playing,0.412949175,0.50%,3
D:/UrbanSound8K_All4Eval/100652-3-0-1.wav,0.015685797,4,dog_bark,0.450826764,0.39%,3
D:/UrbanSound8K_All4Eval/100652-3-0-2.wav,0.019616604,4,dog_bark,0.495030314,0.49%,3
D:/UrbanSound8K_All4Eval/100652-3-0-3.wav,0.020181179,4,dog_bark,0.5639323,0.50%,3
D:/UrbanSound8K_All4Eval/100795-3-0-0.wav,0.020176411,4,dog_bark,0.513243437,0.50%,3
D:/UrbanSound8K_All4Eval/100795-3-1-0.wav,0.009940863,4,dog_bark,0.781176865,0.25%,3
D:/UrbanSound8K_All4Eval/100795-3-1-1.wav,0.020013809,4,dog_bark,0.47579366,0.50%,3
D:/UrbanSound8K_All4Eval/100795-3-1-2.wav,0.015454054,4,dog_bark,0.641484439,0.39%,3
D:/UrbanSound8K_All4Eval/100852-0-0-0.wav,0.018732786,4,air_conditioner,0.622696579,0.47%,0
D:/UrbanSound8K_All4Eval/100852-0-0-1.wav,0.024660826,4,air_conditioner,0.719458759,0.62%,0
D:/UrbanSound8K_All4Eval/100852-0-0-10.wav,0.019872189,4,air_conditioner,0.523809791,0.50%,0
D:/UrbanSound8K_All4Eval/100852-0-0-11.wav,0.020167589,4,air_conditioner,0.561342478,0.50%,0
D:/UrbanSound8K_All4Eval/100852-0-0-12.wav,0.009985209,4,air_conditioner,0.527970374,0.25%,0
D:/UrbanSound8K_All4Eval/100852-0-0-13.wav,0.015135527,4,air_conditioner,0.538286805,0.38%,0
D:/UrbanSound8K_All4Eval/100852-0-0-14.wav,0.025243282,4,air_conditioner,0.607951701,0.63%,0
D:/UrbanSound8K_All4Eval/100852-0-0-15.wav,0.020118713,4,air_conditioner,0.538292348,0.50%,0
D:/UrbanSound8K_All4Eval/100852-0-0-16.wav,0.020035028,4,air_conditioner,0.552853167,0.50%,0
D:/UrbanSound8K_All4Eval/100852-0-0-17.wav,0.014550924,4,air_conditioner,0.576869667,0.36%,0
D:/UrbanSound8K_All4Eval/100852-0-0-18.wav,0.009614706,4,air_conditioner,0.606440544,0.24%,0
D:/UrbanSound8K_All4Eval/100852-0-0-19.wav,0.020048618,4,air_conditioner,0.629171491,0.50%,0
D:/UrbanSound8K_All4Eval/100852-0-0-2.wav,0.020966053,4,air_conditioner,0.619704783,0.52%,0
D:/UrbanSound8K_All4Eval/100852-0-0-20.wav,0.016220331,4,air_conditioner,0.596601486,0.41%,0
D:/UrbanSound8K_All4Eval/100852-0-0-21.wav,0.025200367,4,air_conditioner,0.539234042,0.63%,0
D:/UrbanSound8K_All4Eval/100852-0-0-22.wav,0.019825935,4,air_conditioner,0.596011221,0.50%,0
D:/UrbanSound8K_All4Eval/100852-0-0-23.wav,0.020053625,4,air_conditioner,0.611624479,0.50%,0
D:/UrbanSound8K_All4Eval/100852-0-0-24.wav,0.024791718,4,children_playing,0.297812968,0.62%,0
D:/UrbanSound8K_All4Eval/100852-0-0-25.wav,0.015034437,4,air_conditioner,0.375636876,0.38%,0
D:/UrbanSound8K_All4Eval/100852-0-0-26.wav,0.020085335,4,air_conditioner,0.527647138,0.50%,0
D:/UrbanSound8K_All4Eval/100852-0-0-27.wav,0.011258602,4,air_conditioner,0.544111252,0.28%,0
D:/UrbanSound8K_All4Eval/100852-0-0-28.wav,0.010185957,4,air_conditioner,0.514196575,0.25%,0
D:/UrbanSound8K_All4Eval/100852-0-0-29.wav,0.020030499,4,air_conditioner,0.401401579,0.50%,0
D:/UrbanSound8K_All4Eval/100852-0-0-3.wav,0.019022226,4,air_conditioner,0.659517109,0.48%,0
D:/UrbanSound8K_All4Eval/100852-0-0-30.wav,0.010044813,4,air_conditioner,0.407401949,0.25%,0
