,,,type,,
D:/urbansound8k-gunshot_fold10/157207-6-0-0.wav,1.434165478,2.927959184,children_playing,0.273451865,48.98%
D:/urbansound8k-gunshot_fold10/157207-6-1-0.wav,0.013963461,3.199501134,gun_shot,0.307821721,0.44%
D:/urbansound8k-gunshot_fold10/157207-6-10-0.wav,0.011968374,1.969047619,gun_shot,0.319248319,0.61%
D:/urbansound8k-gunshot_fold10/157207-6-5-0.wav,0.01296401,2.077913832,children_playing,0.281691879,0.62%
D:/urbansound8k-gunshot_fold10/157207-6-9-0.wav,0.012967348,2.089705215,gun_shot,0.307727903,0.62%
D:/urbansound8k-gunshot_fold10/159709-6-0-0.wav,0.01296401,1.92,gun_shot,0.515396595,0.68%
D:/urbansound8k-gunshot_fold10/169261-6-0-0.wav,0.010968685,1.66,gun_shot,0.294484168,0.66%
D:/urbansound8k-gunshot_fold10/174289-6-0-0.wav,0.010969639,2.22,gun_shot,0.498778522,0.49%
D:/urbansound8k-gunshot_fold10/174289-6-1-0.wav,0.013997555,2.349291667,gun_shot,0.625370443,0.60%
D:/urbansound8k-gunshot_fold10/174289-6-2-0.wav,0.011968136,2.46,gun_shot,0.611703694,0.49%
D:/urbansound8k-gunshot_fold10/174289-6-3-0.wav,0.012966633,2.236645833,gun_shot,0.367408067,0.58%
D:/urbansound8k-gunshot_fold10/174292-6-0-0.wav,0.013962746,2.929375,children_playing,0.200046703,0.48%
D:/urbansound8k-gunshot_fold10/174292-6-1-0.wav,0.013962507,2.89,children_playing,0.19056204,0.48%
D:/urbansound8k-gunshot_fold10/174292-6-2-0.wav,0.014959812,3.488270833,children_playing,0.179214865,0.43%
D:/urbansound8k-gunshot_fold10/200460-6-0-0.wav,0.010969877,1.898435374,gun_shot,0.494213909,0.58%
D:/urbansound8k-gunshot_fold10/200460-6-1-0.wav,0.012965679,1.806099773,gun_shot,0.520530999,0.72%
,,,,,
,,,,,
,,,平均值,0.380946655,
,,,标准差,0.155224228,
